source_account,source_repo,source_branch
mskn06,mskn06,master
mskn06,Recipe-Book,master
mskn06,Budget-Handler,master
mskn06,KaamSutra,master
mskn06,MedLine,master
mskn06,floating-whatsapp,master
gmonu,MyCalculator,master
gmonu,Find-Maximum-and-Minimum-Value-In-Java,master
gmonu,Python-Programs,master
gmonu,Salary-Management-System,master
gmonu,Think-Java,master
gmonu,Algo-,master
keras-team,keras,master
scikit-learn,scikit-learn,master
jakevdp,PythonDataScienceHandbook,master
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,master
abhat222,Data-Science--Cheat-Sheet,master
donnemartin,data-science-ipython-notebooks,master
explosion,spaCy,master
eriklindernoren,ML-From-Scratch,master
datasciencemasters,go,master
ipython,ipython,master
virgili0,Virgilio,master
academic,awesome-datascience,master
plotly,dash,master
ray-project,ray,master
Vikasmaury,celsius,master
Vikasmaury,Java-Code-,master
Vikasmaury,My-Code-,master
Vikasmaury,Test,master
Vikasmaury,python-Project-,master

